,name,net_price,date
0,name,net_price,date
1,Carroll PLC,578.24,2014 -09-27 07:13:03
2,Heidenreich -Bosco,1018.78,2014 -07-29 02:10:44
3,Waters -Walker,413.40,2013 -11-17 20:41:11
4,Wa elchi-Fahey,1793.52,2014 -01-03 08:14:27
5,Cole -Eichmann,275.04,2014 -04-09 16:15:03
6,Hegmann and Sons,551.46,2014 -06-18 19:25:10
7,Cole -Eichmann,1144.18,2014 -03-10 06:23:31
8,Hegmann and Sons,78.72,2013 -11-03 18:38:16
9,Koelpin PLC,732.96,2014 -08-12 08:05:27
10,Waters -Walker,959.94,2014 -07-15 23:21:11
11,Koelpin PLC,1669.91,2014 -01-26 01:52:36
12,Carroll PLC,961.44,2014 -05-24 16:03:28
13,Berge LLC,231.00,2013 -11-04 09:48:26
14,Carroll PLC,667.52,2014 -01-12 00:28:09
15,Huel -Haag,82.80,2014 -09-23 02:36:55
16,Kunze Inc,1124.04,2014 -02-19 06:03:09
17,Gorczany -Hahn,871.56,2014 -02-07 03:30:14
18,Kilback -Gerlach,181.60,2014 -03-26 20:56:14
19,Hamill -Hackett,257.76,2013 -11-14 22:16:18
20,Kilback -Gerlach,71.50,2014 -04-14 16:58:07
21,Koelpin PLC,283.04,2013 -12-12 02:37:57
22,Gorczany -Hahn,397.92,2014 -02-20 07:42:49
23,Carroll PLC,214.62,2013 -12-03 01:25:07
24,Waters -Walker,1132.08,2014 -09-04 13:39:04
25,Kunze Inc,230.04,2014 -02-20 13:18:47
26,Hamill -Hackett,86.13,2014 -01-02 12:49:41
27,Gorczany -Hahn,123.31,2013 -12-10 20:13:01
28,Koelpin PLC,119.16,2013 -11-07 17:43:31
29,Koelpin PLC,394.02,2014 -06-21 19:49:30
30,Hamill -Hackett,332.58,2014 -08-08 13:50:43
31,Hue l-Haag,383.00,2014 -03-15 12:50:59
32,Huel -Haag,126.30,2014 -06-05 22:34:03
33,Kunze Inc,262.10,2014 -04-21 02:14:10
34,Cole -Eichmann,237.90,2013 -11-17 23:56:36
35,Koelpin PLC,364.07,2014 -05-23 17:49:08
36,Kunze Inc,1294.02,2014 -08-03 21:22:07
37,Koelpin PLC,807.66,2014 -05-26 16:29:02
38,Heidenreich -Bosco,264.90,2014 -02-12 07:27:39
39,Kunze Inc,1065.76,2014 -07-25 22:56:12
40,Berge LLC,299.64,2014 -08-04 23:08:09
41,Cole -Eichmann,292.25,2014 -07-08 15:01:53
42,Gorczany -Hahn,288.99 ,2014 -01-13 18:31:57
43,Heidenreich -Bosco,808.38,2013 -11-30 23:19:44
44,Waelchi -Fahey,1089.99,2014 -07-15 21:09:33
45,Waelchi -Fahey,10.38,2014 -09-12 21:26:08
46,Huel -Haag,554.56,2014 -08-05 15:34:59
47,Hegmann and Sons,1387.88,2014 -05-29 05:51:07
48,Hamill -Hackett,253.15,2014 -10-22 11:43:28
49,Kunze Inc,488.46,2014 -09-11 08:41:22
50,Huel -Haag,495.81,2014 -06-28 22:39:25
51,Cole -Eichmann,52.62,2014 -01-17 19:11:41
52,Huel -Haag,44.70,2013 -11-21 14:28:29
53,Waelchi -Fahey,534.30,2014 -05-15 02:19:37
54,Koelpin PLC,35.82,2014 -04-01 11:12:52
55,Berge LLC,280.00,2013 -11-22 17:45:35
56,Gorczany -Hahn,887.04,2014 -05-15 13:22:25
57,Koelpin PLC,77.64,2013 -12-10 17:54:51
58,Berge LLC,542.26,2013 -10-26 17:03:00
59,Carroll PLC,554.05,2014 -03-07 09:38:37
60,Koelpin PLC,118.80,2014 -08-17 11:00:49
61,Gorczany -Hahn,88.20,2014 -08-09 18:31:40
62,Gorczany -Hahn,821.00,2014 -02-20 07:29:02
63,Kilback -Gerlach,863.28,2014 -05-29 22:08:13
64,Waters -Walker,200.40,2014 -08-11 02:09:32
65,Hei denreich -Bosco,755.10,2013 -10-22 23:19:39
66,Hegmann and Sons,209.04,2014 -01-22 14:25:19
67,Gorczany -Hahn,898.37,2014 -09-06 11:50:34
68,Hegmann and Sons,343.92,2013 -12-20 12:38:08
69,Waelchi -Fahey,48.60,2013 -11-10 13:25:32
70,Berge LLC,644.40,2014 -09-27 02:51:01
71,Koelpin PLC,1293.12,2014 -08-19 00:53:50
72,Hamill -Hackett,549.80,2014 -07-02 12:51:29
73,Waters -Walker,292.44,2014 -08-21 19:29:11
74,Waelchi -Fahey,456.84,2014 -08-29 11:32:00
75,Waters -Walker,342.88,2014 -05-25 00:38:58
76,Waters -Walker,421.80,2013 -12-23 04:50:54
77,Hegmann and Sons,507.40,2014 -07-19 17:18:19
78,Kunze Inc,927.55,2014 -06-09 20:22:22
79,Hegmann and Sons,1274.72,2013 -10-25 07:31:02
80,Kilback -Gerlach,121.50,2014 -05-17 13:10:42
81,Waters -Walker,172.34,2014 -03-12 14:25:12
82,Carroll PLC,1395.90,2014 -08-17 18:39:56
83,Kilback -Gerlach, 63.08,2014 -01-26 05:15:19
84,Huel -Haag,558.12,2013 -11-23 08:51:18
85,Kilback -Gerlach,584.87,2014 -06-10 15:11:01
86,Gorczany -Hahn,1252.03,2013 -12-03 04:04:40
87,Koelpin PLC,1455.52,2014 -08-29 07:41:36
88,Berge LLC,448.14,2013 -11-05 03:55:12
89,Kunze Inc,843.21,2014 -03-20 15:25:39
90,Waters -Walker,961.65,2013 -10-23 08:28:53
91,Huel -Haag,146.61,2014 -04-03 22:36:22
92,Berge LLC,937.70,2014 -08-17 09:21:15
93,Berge L LC,508.38,2014 -07-20 18:27:59
94,Kilback -Gerlach,500.39,2013 -11-12 10:13:25
95,Cole -Eichmann,51 2.90,2014 -09-16 05:26:10
96,Waters -Walker,1207.68,2014 -08-23 04:04:11
97,Hamill -Hackett,1081.10,2014 -10-21 08:46:48
98,Hegmann and Sons,718.90,2014 -09-11 00:45:37
99,Huel -Haag,238.47,2014 -06-02 13:06:24
100,Berge LLC,896.83,2014 -09-01 17:46:10
101,Waelchi -Fahey,18.68,2014 -05-19 18:10:49
102,Koelpin PLC,906.40,2014 -07-06 22:06:23
103,Kilback -Gerlach,687.40,2014 -03-27 12:14:12
104,Cole -Eichmann,121.80,2014 -05-23 10:24:32
105,Waelchi -Fahey,25.36,2014 -04-27 03:38:16
106,Hamill -Hackett,844.56,2014 -01-28 15:37:10
107,Hegmann and Sons,190.74,2014 -03-30 08:27:54
108,Hegmann and Sons,1939.60,2014 -06-13 18:23:55
109,Carroll PLC,380.64,2014 -02-26 18:22:57
110,Cole -Eichmann,75.72,2014 -04-04 19:30:50
111,Huel -Haag,595.62,2014 -01-15 11:55:40
112,Hegmann and Sons,593.34,2014 -04-22 00:24:15
113,Berge LLC,394.56,2013 -12-12 00:57:07
114,Carroll PLC,109.04,2014 -08-24 09:43:19
115,Heidenreich -Bosco,855.27,2014 -06-28 04:47:33
116,Hegmann and Sons,486.60,2014 -02-15 15:29:46
117,Heidenreich -Bosco,459.84,2014 -06-25 09:29:53
118,Kunze Inc,523.77,2014 -09-01 23:53:15
119,Heidenreich -Bosco,221.70,2014 -02-26 06:59:32
120,Kilback -Gerlach,651.15,2014 -03-09 00: 29:06
121,Gorczany -Hahn,740.52,2014 -02-28 18:44:43
122,Hegmann and Sons,53.70,2014 -10-14 19:22:12
123,Hegmann a nd Sons,930.96,2014 -02-14 00:05:05
124,Huel -Haag,701.58,2014 -07-15 23:58:16
125,Koelpin PLC,565.10,2014 -09-22 16:34:24
126,Berge LLC,171.12,2014 -03-12 11:43:23
127,Koelpin PLC,344.37,2014 -09-09 14:59:01
128,Cole -Eichmann,1239.47,2014 -02-26 16:19:25
129,Wael chi-Fahey,1341.75,2014 -09-09 09:21:01
130,Gorczany -Hahn,437.88,2014 -06-15 03:34:22
131,Kunze Inc,506.24,2014 -06-21 21:09:50
132,Berge LLC,445.90,2014 -05-04 18:52:20
133,Waelchi -Fahey,889.07,2013 -11-27 12:45:23
134,Carroll PLC,58.80,2014 -09-06 13:00:55
135,Carroll PLC,439.04,2014 -07-06 13:23:48
136,Carroll PLC,1393.00,2014 -06-07 23:28:22
137,Cole -Eichmann,754.83,2014 -07-28 01:53:47
138,Carroll PLC,1075.97,2013 -12-08 02:40:53
139,Kilback -Gerlach,56.95,2014 -03-08 15:50:55
140,Hegmann and Sons,318.10,2013 -11-18 23:11:16
141,Cole -Eichmann,524.42,2014 -09-08 14:00:39
142,Carroll PLC,818.19,2014 -10-11 20:37:05
143,Kilback -Gerlach,97.29,2013 -12-06 00:59:43
144,Hegmann and Sons,756.18,2013 -11-27 03:18:14
145,Hamill -Hackett ,370.10,2013 -11-10 07:30:39
146,Waters -Walker,854.26,2014 -03-15 17:01:26
147,Heidenreich -Bosco,103.25,2014 -09-14 23:53:52
148,Waelchi -Fahey,620.00,2014 -03-20 05:48:40
149,Hamill -Hackett,55.51,2014 -07-15 17:41:23
150,Kunze Inc,1275.00,2014 -02-09 10:28:34
151,Koelpin PLC,1001.70,2014 -04-29 20:36:59
152,Waters -Walker,150.32,2013 -11-26 12:30:16
153,Heidenreich -Bosco,487.20,2014 -03-08 06:35:20
154,Carroll PLC,207.48,2014 -04-06 19:17:38
155,Hamill -Hackett,355.96,2013 -12-16 01:09:18
