,name,unit price
0,name,unit price
1,Carroll PLC,44.48
2,Heidenreich -Bosco,53.62
3,Waters -Walker,82.68
4,Wa elchi-Fahey,99.64
5,Cole -Eichmann,15.28
6,Hegmann and Sons,78.78
7,Cole -Eichmann,60.22
8,Hegmann and Sons,13.12
9,Koelpin PLC,81.44
10,Waters -Walker,53.33
11,Koelpin PLC,98.23
12,Carroll PLC,80.12
13,Berge LLC,57.75
14,Carroll PLC,47.68
15,Huel -Haag,41.40
16,Kunze Inc,93.67
17,Gorczany -Hahn,72.63
18,Kilback -Gerlach,90.80
19,Hamill -Hackett,42.96
20,Kilback -Gerlach,71.50
21,Koelpin PLC,35.38
22,Gorczany -Hahn,24.87
23,Carroll PLC,15.33
24,Waters -Walker,94.34
25,Kunze Inc,12.78
26,Hamill -Hackett,28.71
27,Gorczany -Hahn,11.21
28,Koelpin PLC,29.79
29,Koelpin PLC,35.82
30,Hamill -Hackett,55.43
31,Hue l-Haag,95.75
32,Huel -Haag,12.63
33,Kunze Inc,26.21
34,Cole -Eichmann,23.79
35,Koelpin PLC,52.01
36,Kunze Inc,92.43
37,Koelpin PLC,57.69
38,Heidenreich -Bosco,26.49
39,Kunze Inc,66.61
40,Berge LLC,99.88
41,Cole -Eichmann,41.75
42,Gorczany -Hahn,22.23
43,Heidenreich -Bosco,89.82
44,Waelchi -Fahey,99.09
45,Waelchi -Fahey,10.38
46,Huel -Haag,69.32
47,Hegmann and Sons,81.64
48,Hamill -Hackett,50.63
49,Kunze Inc,81.41
50,Huel -Haag,55.09
51,Cole -Eichmann,17.54
52,Huel -Haag,14.90
53,Waelchi -Fahey,89.05
54,Koelpin PLC,35.82
55,Berge LLC,56.00
56,Gorczany -Hahn,73.92
57,Koelpin PLC,38.82
58,Berge LLC,28.54
59,Carroll PLC,79.15
60,Koelpin PLC,23.76
61,Gorczany -Hahn,44.10
62,Gorczany -Hahn,41.05
63,Kilback -Gerlach,95.92
64,Waters -Walker,50.10
65,Hei denreich -Bosco,75.51
66,Hegmann and Sons,17.42
67,Gorczany -Hahn,81.67
68,Hegmann and Sons,57.32
69,Waelchi -Fahey,24.30
70,Berge LLC,53.70
71,Koelpin PLC,80.82
72,Hamill -Hackett,27.49
73,Waters -Walker,73.11
74,Waelchi -Fahey,50.76
75,Waters -Walker,21.43
76,Waters -Walker,21.09
77,Hegmann and Sons,25.37
78,Kunze Inc,71.35
79,Hegmann and Sons,79.67
80,Kilback -Gerlach,60.75
81,Waters -Walker,86.17
82,Carroll PLC,93.06
83,Kilback -Gerlach,31.54
84,Huel -Haag,93.02
85,Kilback -Gerlach,53.17
86,Gorczany -Hahn,96.31
87,Koelpin PLC,90.97
88,Berge LLC,64.02
89,Kunze Inc,93.69
90,Waters -Walker,64.11
91,Huel -Haag,48.87
92,Berge LLC,93.77
93,Berge L LC,84.73
94,Kilback -Gerlach,45.49
95,Cole -Eichmann,51.29
96,Waters -Walker,75.48
97,Hamill -Hackett,56.90
98,Hegmann and Sons,71.89
99,Huel -Haag,79.49
100,Berge LLC,81.53
101,Waelchi -Fahey,18.68
102,Koelpin PLC,45.32
103,Kilback -Gerlach,68.74
104,Cole -Eichmann,20.30
105,Waelchi -Fahey,12.68
106,Hamill -Hackett,49.68
107,Hegmann and Sons,95.37
108,Hegmann and Sons,96.98
109,Carroll PLC,23.79
110,Cole -Eichmann,37.86
111,Huel -Haag,66.18
112,Hegmann and Sons,98.89
113,Berge LLC,24.66
114,Carroll PLC,54.52
115,Heidenreich -Bosco,65.79
116,Hegmann and Sons,81.10
117,Heidenreich -Bosco,38.32
118,Kunze Inc,40.29
119,Heidenreich -Bosco,22.17
120,Kilback -Gerlach,43.41
121,Gorczany -Hahn,67.32
122,Hegmann and Sons,17.90
123,Hegmann a nd Sons,51.72
124,Huel -Haag,63.78
125,Koelpin PLC,56.51
126,Berge LLC,21.39
127,Koelpin PLC,26.49
128,Cole -Eichmann,72.91
129,Wael chi-Fahey,89.45
130,Gorczany -Hahn,72.98
131,Kunze Inc,63.28
132,Berge LLC,44.59
133,Waelchi -Fahey,68.39
134,Carroll PLC,58.80
135,Carroll PLC,27.44
136,Carroll PLC,99.50
137,Cole -Eichmann,83.87
138,Carroll PLC,56.63
139,Kilback -Gerlach,56.95
140,Hegmann and Sons,31.81
141,Cole -Eichmann,40.34
142,Carroll PLC,90 .91
143,Kilback -Gerlach,10.81
144,Hegmann and Sons,42.01
145,Hamill -Hackett ,74.02
146,Waters -Walker,77.66
147,Heidenreich -Bosco,14.75
148,Waelchi -Fahey,38.75
149,Hamill -Hackett,55.51
150,Kunze Inc,63.75
151,Koelpin PLC,66.78
152,Waters -Walker,75.16
153,Heidenreich -Bosco,34.80
154,Carroll PLC,14.82
155,Hamill -Hackett,88.99
156,Kilback -Gerlach,71.43
157,Huel -Haag,23.37
158,Kilback -Gerlach,30.06
159,Waelchi -Fahey,38.69
160,Koelpin PLC,16.22
161,Carroll PLC,63.45
162,Hegmann and Sons,66.27 
163,Gorczany -Hahn,16.11
164,Kunze Inc,76.23
165,Hegmann and Sons,20.61
166,Cole -Eichmann,55.05
167,Berge LLC,88.62
168,Kunze Inc,38.76
169,Cole -Eichmann,12.35
170,Waelchi -Fahey,23.86
171,Waelchi -Fahey,72.43
172,Carroll PLC,91.46
173,Kunze Inc,75.70
174,Waters -Walker,99.42
175,Huel -Haag,75.62
176,Waters -Walker,78.54
177,Kilback -Gerlach,82.95
178,Koelpin PLC,40.79
179,Huel -Haag,38.58
180,Hamill -Hackett,99.97
181,Kilback -Gerlach,96.66
182,Gorczany -Hahn,80.25
183,Carroll PLC,69.41
184,Kunze Inc,87.42
185,Kunze Inc,74.34
186,Kunze Inc,77.40
187,Berge LLC,58.85
188,Koelpin PLC,26.93
189,Waters -Walker,95.96
190,Berge LLC,46.94
191,Kil back -Gerlach,39.02
192,Berge LLC,33.92
193,Koelpin PLC,25.42
194,Huel -Haag,50.20
195,Koelpin PLC,89.95
196,Hegmann and Sons,22.67
197,Berge LLC,46.71
198,Waelchi -Fahey,75.46
199,Kilback -Gerlach,71.02
200,Berge LLC,77.10
201,Koelpin PLC,95.77
202,Kunze Inc,13.93
203,Koelpin PLC,60.51
204,Carroll PLC,41.58
205,Berge LLC,89.48
206,Kunze Inc,18.29
207,Huel -Haag,23.12
208,Waelchi -Fahey,53.60
209,Koelpin PLC,33.20
210,Berge LLC,15.22
211,Berge LLC,53.11
212,Gorczany -Hahn,90.21
213,Hamill -Hackett,76.81
214,Heidenreich -Bosco,61.31
215,Hegmann and Sons,33.00
216,Cole -Eichmann,36.62
217,Hegmann and Sons,23.74
218,Waters -Walker,58.55
219,Koelpin PLC,69.58
220,Hamill -Hackett,67.36
221,Cole -Eichmann,69.11
222,Berge LLC,96.25
223,Heidenreich -Bosco,71.34
224,Kilback -Gerlach,33.10
225,Carroll PLC,38.73
226,Carroll PLC,91.09
227,Hegmann and Sons,60.72
228,Koelpin PLC,64.13
229,Hamill -Hackett,73.74
230,Kunze Inc,36.32
231,Hamill -Hackett,10.96
232,Gorczany -Hahn,88.39
233,Heidenreich -Bosco,94.00
234,Kunze Inc,69.20
235,Cole -Eichmann,54.20
236,Hamill -Hackett,42.71
237,Heidenreich -Bosco,22.08
238,Heidenreich -Bosco,82.28
239,Hamill -Hackett,44.38
240,Waters -Walker,54.96
241,Hegmann and Sons,15.28
242,Kilback -Gerlach,40.48
243,Koelpin PLC,23.38
244,Kilback -Gerlach,54.04
245,Berge LLC,25.26
246,Kunze Inc,46.00
247,Hamill -Hackett,34.76
248,Berge LLC,93.10
249,Kilback -Gerlach,90.02
250,Hamill -Hackett,37.64
251,Carroll PLC,67.68
252,Waelchi -Fahey,19.62
253,Waelchi -Fahey,75.49
254,Gorczany -Hahn,95.08
255,Huel -Haag,63.97
256,Waters -Walker,16.59
257,Gorczany -Hahn,52.57
258,Waters -Walker,45.97
259,Carroll PLC,37.40
260,Cole -Eichmann,45.24
261,Berge LLC,30.49
262,Waelchi -Fahey,38.20
263,Kunze Inc,72.29
264,K unze Inc,61.03
265,Hamill -Hackett,61.42
266,Huel -Haag,64.75
267,Carroll PLC,50.36
268,Hamill -Hackett,71.55
269,Cole -Eichmann,37.74
270,Koelpin PLC,41.57
271,Waelchi -Fahey,59.59
272,Hegmann and Sons,62.71
273,Gorczany -Hahn,37.88
274,Waelchi -Fahey,42.83
275,Berge LLC,76.13
276,Koelpin PLC,41.09
277,Waelchi -Fahey,32.84
278,Carroll PLC,10.81
279,Gorczany -Hahn,26.19
280,Gorczany -Hahn,48.63
281,Kilback -Gerlach,56.33
282,Huel -Haag,79.58
283,Kunze Inc,78.44
284,Cole -Eichmann,54.77
285,Heidenreich -Bosco,73.45
286,Hegmann and Sons,45.99
287,Hegmann and Sons,89.80
288,Berge LLC,63.74
289,Carroll PLC,36.35
290,Carroll PLC,12 .28
291,Waelchi -Fahey,64.42
292,Hegmann and Sons,67.31
293,Hegmann and Sons,83.98
294,Carroll PLC,61.39
295,Waelchi -Fahey,74.07
296,Cole -Eichmann,88.32
297,Heidenreich -Bosco,58.56
298,Kunze Inc,68.90
299,Cole -Eichmann,39.75
300,Waters -Walker,83.22
301,Waelchi -Fahey,41.70
302,Hegmann and Sons,44.56
303,Koelpin PLC,15.24
304,Gorczany -Hahn,66.03
305,Cole -Eichmann,95.99
306,Kilback -Gerlach,18.29
307,Cole -Eichmann,47.21
308,Kunze Inc,45.33
309,Carroll PLC,30.34
310,Cole -Eichmann,23.57
311,Kunze Inc,28.29
312,Huel -Haag,32.91
313,Koelpin PLC,31.82
314,Hamill -Hackett,74.47
315,Hami ll-Hackett,72.92
316,Cole -Eichmann,70.03
317,Waters -Walker,47.53
318,Kilback -Gerlach,99.65
319,Berge LLC,49.12
320,Hamill -Hackett,52.06
321,Huel -Haag,58.52
322,Heidenreich -Bosco,81.70
323,Hegmann and Sons,84.72
324,Cole -Eichmann,79.87
325,Waters -Walker,59.50
326,Waelchi -Fahey,67.01
327,Koelpin PLC,61.76
328,Carroll PLC,55.69
329, Huel-Haag,72.75
330,Huel -Haag,71.91
331,Carroll PLC,78.7 2
332,Kunze Inc,44.56
333,Kilback -Gerlach,92.34
334,Waters -Walker,52.61
335,Kilback -Gerlach,90.75
336,Waelchi -Fahey,50.33
337,Heidenreich -Bosco,96.02
338,Koelpin PLC,66. 37
339,Hamill -Hackett,59.85
340,Hegmann and Sons,66.63
341,Berge LLC,94.37
342,Berge LLC,37.10
343,Waelchi -Fahey,78.95
344,Waelchi -Fahey,76.57
345,Koelpin PLC,43.97
346,Hamill -Hackett,59.00
347,Kunze Inc,17.63
348,Gorczany -Hahn,61.73
349,Heidenreich -Bosco,38.39
350,Berge LLC,60.05
351,Waelchi -Fahey,43.69
352,Hamill -Hackett,69.13
353,Huel -Haag,94.18
354,Hegmann and Sons,80.42
355,Kunze Inc,31.53
356,Kunze Inc,73.79
357,Carroll PLC,10.67
358,Waters -Walker,53.33
359,Ca rroll PLC,55.23
360,Carroll PLC,77.91
361,Cole -Eichmann,28.81
362,Carroll PLC,28.32
363,Waelchi -Fahey,88.57
364,Hegmann and Sons,52.58
365,Berge LLC,36.86
366,Cole -Eichmann,52.07
367,Kilback -Gerlach,55.82
368,Berge LLC,24.13
369,Waters -Walker,62.39
370,Hegmann and Sons,98.54
371,Waelchi -Fahey,20.03
372,Waters -Walker,71.32
373,Kilback -Gerlach,55.04
374,Waters -Walker, 95.37
375,Cole -Eichmann,50.88
376,Hegmann and Sons,42.78
377,Cole -Eichmann,87.35
378,Berge LLC,74.75
379,Koelpin PLC,73.70
380,Waters -Walker,75.72
381,Koelpin PLC,76.09
382,Waters -Walker,45.42
383,Koelpin PLC,65.97
384,Koelpin PLC,20.06
385,Carroll PLC,62.25
386,Waelchi -Fahey,86.20
387,Gorczany -Hahn,10.06
388,Hegmann and Sons,93.93
389,Hamill -Hackett,58.32
390,Carroll PLC,58.48
391,Waters -Walker ,49.97
392,Kilback -Gerlach,38.38
393,Berge LLC,72.20
394,Waelchi -Fahey,32.24
395,Waelchi -Fahey,73.03
396,Carroll PLC,33.31
397,Huel -Haag,45.24
398,Huel -Haag,81.79
399,Hegmann and Sons,91.68
400,Carroll PLC,66.43
401,Waelchi -Fahey,99.58
402,Kunze Inc,63.84
403,Berge LLC,17.54
404,Gorczany -Hahn,71.61
405,Cole -Eichmann,92.49
406,Waters -Walker,66.41
407,Cole -Eichmann,53.32
408,Berge LLC,75.81
409,Cole -Eichmann,89.88
410,Hegmann and Sons,73.73
411,Carroll PLC,67.10
412,Waelchi -Fahey,62.47
413,Heidenreich -Bosco,92.90
414,Waters -Walker,95.16
415,Kilback -Gerlach,40.64
416,Cole -Eichmann,54.09
417,Gorczany -Hahn,62.60
418,Kilback -Gerlach,29.20
419,Huel -Haag,23.99
420,Hami ll-Hackett,47.71
421,Kunze Inc,76.78
422,Huel -Haag,63.59
423,Cole -Eichmann,53.25
424,Koelpin PLC,91.20
425,Carroll PLC,95.17
426,Koelpin PLC,62.68
427,Hamill -Hackett,72.15
428,Hamill -Hackett,91.04
429,Koelpin PLC,29.75
430,Hegmann and Sons,76.23
431,Carroll PLC,39.49
432,Berge LLC,88.31
433,Berge LLC,58.29
434,Kunze Inc,80.50
435,Waelchi -Fahey,40.80
436,Hegmann and Sons,73.69
437,Berge LLC,51.72
438,Huel -Haag,51.11
439,Cole -Eichmann,17.68
440,Kunze Inc,85.24
441,Cole -Eichmann,53.38
442,Huel -Haag,74.64
443,Kunze Inc,72.69
444,Hamill -Hackett,50.86
445,Hamill -Hackett,17.46
446,Waters -Walker,44.93
447,Kunze Inc,44.87
448,Cole -Eichmann,41.58
449,Kunze Inc,80.60
450,Hegmann and Sons,67.55
451,Cole -Eichmann,99.90
452,Koelpin PLC,26.55
453,Berge LLC,16.73
454,Heidenreich -Bosco,48.13
455,Carroll PLC,55.60
456,Carroll PLC,78.56
457,Koelpin PLC,25.46
458,Waelchi -Fahey,95.03
459,Heidenreich -Bosco,82.77
460,Hamill -Hackett,72.06
461,Waelchi -Fahey,43.64
462,Waelchi -Fahey,25.74
463,Waelchi -Fahey,12.66
464,Hegmann and Sons,24.90
465,Kunze Inc,62.03
466,Kilback -Gerlach,31.44
467,Hegmann and Sons,73.96
468,Gorczany -Hahn,18.41
469,Gorczany -Hahn,94.62
470,Gorczany -Hahn,45.14
471,Carroll PLC,15.69
472,Heidenreich -Bosco,76.76
473,Kunze Inc,53.03
474,Huel -Haag,78.64
475,Waters -Walker,72.11
476,Kunze Inc,59.23
477,Waters -Walker,81.45
478,Gorczany -Hahn,61.04
479,Kunze Inc ,39.31
480,Hegmann and Sons,60.29
481,Carroll PLC,51.47
482,Berge LLC,91.88
483,Carroll PLC,82.36
484,Heid enreich -Bosco,84.24
485,Waelchi -Fahey,88.36
486,Hamill -Hackett,47.20
487,Huel -Haag,55.75
488,Koelpin PLC,81.58
489,Hamill -Hackett,23.33
490,Heidenreich -Bosco,84.23
491,Waelchi -Fahey,98.86
492,Kunze Inc,12.07
493,Hamill -Hackett,87.50
494,Waelchi -Fahey,63.37
495,Hegmann and Sons,87.07
496,Heidenreich -Bosco,88.57
497,Koelpin PLC,55.16
498,Cole -Eichmann,25.66
499,Heidenreich -Bosco,19.69
500,Hegmann and Son s,57.14
501,Waelchi -Fahey,97.92
502,Waters -Walker,51.18
503,Waelchi -Fahey,62.58
504,Carroll PLC,76.08
505,Waelchi -Fahey,11.91
506,Kunze Inc,82.86
507,Gorczany -Hahn,25 .75
508,Kunze Inc,38.77
509,Huel -Haag,52.93
510,Kilback -Gerlach,97.99
511,Waelchi -Fahey,36.72
512,Berge LLC,84.43
513,Cole -Eichmann,51.86
514,Huel -Haag,32.23
515,Kilback -Gerlach,44.56
516,Gorczany -Hahn,58.03
517,Hegmann and Sons,51.46
518,Hamill -Hackett,92.28
519,Gorczany -Hahn,32.53
520,Huel -Haag,67.49
521,Carroll PLC,14.92
522,Berge LLC,25.09
523,Kilback -Gerlach,72.86
524,Huel -Haag,60.95
525,Hamill -Hackett,47.05
526,Kunze Inc,36.00
527,Heidenreich -Bosco,43.89
528,Heidenreich -Bosco,55.68
529,Berge LLC,21.76
530,Waelchi -Fahey,85.44
531,Kilback -Gerlach,88.71
532,Kilback -Gerlach,41.95
533,Heidenreich -Bosco,41.04
534,Berge LLC,59.00
535,Carroll PLC,20.01
536,Kilback -Gerlach,37.06
537,Gorczany -Hahn,36.84
538,Waelchi -Fahey,13.47
539,Koelpin PLC,18.85
540,Kunze Inc,56.99
541,Gorczany -Hahn,31.99
542,Huel -Haag,27.24
543,Hegmann and Sons,40.32
544,Gorczany -Hahn,33.56
545,Carroll PLC,21.41
546,Kunze Inc,81.66
547,Cole -Eichmann,63.20
548,Kilback -Gerlach, 95.18
549,Koelpin PLC,20.20
550,Kilback -Gerlach,34.40
551,Berge LLC,44.89
552,Gorczany -Hahn,13.31
553,Huel -Haag,58.12
554,Hamill -Hackett,58.95
555,Waelchi -Fahey,35.44
556,Hegmann and Sons,19.42
557,Waters -Walker,70.81
558,Heidenreich -Bosco,87.08
559,Huel -Haag,88.25
560,Gorczany -Hahn,74.73
561,Kunze Inc,63.32
562,Waters -Walker,48.34
563,Waters -Walker,76.61
564,Cole -Eichmann,96.14
565,Huel -Haag,69.19
566,Koelpin PLC,62.87
567,Waters -Walker,96.80
568,Heidenreich -Bosco,23.04
569,Kunze Inc,35.98
570,Gorczany -Hahn,14.71 
571,Cole -Eichmann,43.85
572,Heidenreich -Bosco,20.07
573,Waelchi -Fahey,56.27
574,Heidenreich -Bosco,79.20
575,Hegmann an d Sons,49.06
576,Koelpin PLC,91.33
577,Gorczany -Hahn,93.50
578,Heidenreich -Bosco,26.88
579,Heidenreich -Bosco,52.04
580,Cole -Eichmann,97.04
581,Hegmann and Sons,62.36
582,Hegmann and Sons,88.44
583,Kilback -Gerlach,79.71
584,Hamill -Hackett,96.57
585,Carroll PLC,79.85
586,Waters -Walker,47.74
587,Cole -Eichmann,97.33
588,Hamill -Hackett,98.39
589,Cole -Eichmann,94.06
590,Cole -Eichmann,80.69
591,Waters -Walker,84.23
592,Hegmann and Sons,39.14
593,Berge LLC,93.45
594,Koelpin PLC,62.68
595,Kilback -Gerlach,25.23
596,Carroll PLC,22.36
597,Kilback -Gerlach,72.82
598,Heidenreich -Bosco,22.33
599,Carroll PLC,29.69
600,Hegmann and Sons,96.49
601,Kilback -Gerlach,22.81
602,Waters -Walker,28.76
603,Heidenreich -Bosco,35.71
604,Carroll PLC,32.75
605,Hegmann and Sons,18.24
606,Huel -Haag,22.38
607,Gorczany -Hahn,72.35
608,Kilback -Gerlach,91.96
609,Waters -Walker,99.74
610,Heidenreich -Bosco,82.82
611,Berge LLC,85.04
612,Cole -Eichmann,73.24
613,Waters -Walker,68.62
614,Huel -Haag,57.33
615,Kunze Inc,27.16
616,Waelchi -Fahey,56.56
617,Carroll PLC,14.37
618,Kunze Inc,19.66
619,Waters -Walker,90.95
620,Huel -Haag,98.22
621,Heidenreich -Bosco,74.83
